diffusion_model,source_type,prompt_key,llm_model,image_path,image_missing,original_damage_severity,original_informative,original_humanitarian,original_disaster_types,claude_damage_severity,claude_informative,claude_humanitarian,claude_disaster_types,claude_damage_severity_match,claude_informative_match,claude_humanitarian_match,claude_disaster_types_match
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
final,unknown,,unknown,,True,,,,,,,,,,,,
