DamageSeverity,Informativeness,Humanitarian,DisasterType,SyntheticImages,RawAllocation,ReallocatedAlloc,WeaknessLevels,F1Scores
little_or_none,not_informative,infrastructure_and_utility_damage,earthquake,10,10,18.07303487,normal|normal|normal|normal,92.0%|89.2%|85.1%|80.1%
little_or_none,not_informative,infrastructure_and_utility_damage,not_disaster,10,10,18.07303487,normal|normal|normal|normal,92.0%|89.2%|85.1%|90.7%
little_or_none,not_informative,not_humanitarian,earthquake,10,10,18.07303487,normal|normal|normal|normal,92.0%|89.2%|90.6%|80.1%
little_or_none,not_informative,not_humanitarian,fire,10,10,18.07303487,normal|normal|normal|normal,92.0%|89.2%|90.6%|78.5%
little_or_none,not_informative,not_humanitarian,flood,10,10,18.07303487,normal|normal|normal|normal,92.0%|89.2%|90.6%|81.0%
little_or_none,not_informative,not_humanitarian,not_disaster,10,10,18.07303487,normal|normal|normal|normal,92.0%|89.2%|90.6%|90.7%
little_or_none,informative,infrastructure_and_utility_damage,earthquake,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|85.1%|80.1%
little_or_none,informative,infrastructure_and_utility_damage,fire,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|85.1%|78.5%
little_or_none,informative,infrastructure_and_utility_damage,flood,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|85.1%|81.0%
little_or_none,informative,infrastructure_and_utility_damage,not_disaster,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|85.1%|90.7%
little_or_none,informative,not_humanitarian,earthquake,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|90.6%|80.1%
little_or_none,informative,not_humanitarian,fire,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|90.6%|78.5%
little_or_none,informative,not_humanitarian,flood,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|90.6%|81.0%
little_or_none,informative,not_humanitarian,not_disaster,10,10,18.07303487,normal|normal|normal|normal,92.0%|88.1%|90.6%|90.7%
severe,not_informative,not_humanitarian,fire,10,10,18.07303487,normal|normal|normal|normal,79.9%|89.2%|90.6%|78.5%
severe,not_informative,not_humanitarian,not_disaster,10,10,18.07303487,normal|normal|normal|normal,79.9%|89.2%|90.6%|90.7%
severe,informative,not_humanitarian,fire,10,10,18.07303487,normal|normal|normal|normal,79.9%|88.1%|90.6%|78.5%
severe,informative,not_humanitarian,not_disaster,10,10,18.07303487,normal|normal|normal|normal,79.9%|88.1%|90.6%|90.7%
little_or_none,not_informative,not_humanitarian,hurricane,31,30,54.2191046,normal|normal|normal|below_average,92.0%|89.2%|90.6%|68.2%
little_or_none,not_informative,not_humanitarian,landslide,31,30,54.2191046,normal|normal|normal|below_average,92.0%|89.2%|90.6%|69.1%
