image_id,event_name,image_path,damage_severity,informative,humanitarian,disaster_types,model_name,prompt,LLM_analysis,refusal_detected,fallback_attempts,damage_severity_prediction,informative_prediction,humanitarian_prediction,disaster_types_prediction
AIDR,920964237404659712_0,data/aidr_disaster_types/natural_disaster/19_10_2017/920964237404659712_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
This image depicts a meeting or conference room setting with several individuals seated around a conference table. The room has wooden-paneled ceiling with fluorescent lighting, and there are wall-mounted displays showing what appears to be presentation slides. The individuals are dressed professionally and seem to be engaged in a formal meeting or discussion. There is a landscape painting or photo of boats on the wall, and the room appears to be a standard professional conference room environment.
</analysis>

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>

This image does not represent a humanitarian crisis or disaster scenario. It shows a typical professional meeting or conference room setting with people gathered around a table, likely for a business, government, or organizational meeting. The environment appears calm, structured, and normal, with no signs of damage, distress, or emergency situation.

The classification reflects that:
- This is not a disaster scene
- There is no visible damage
- The image is not informative for humanitarian aid purposes
- There are no humanitarian crisis indicators present",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
ASONAM2017,nepal_eq_severe_im_9032.jpg,data/ASONAM17_Damage_Image_Dataset/nepal_eq/nepal_eq_severe_im_9032.jpg,mild,informative,infrastructure_and_utility_damage,earthquake,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a white car with numerous electrical or communication cables/wires draped over and entangled with the vehicle on a city street. There are people visible in the background, and the scene appears to be in an urban setting with trees and a road. The cables seem to have fallen or collapsed onto the vehicle, creating a potentially hazardous situation.
</analysis>

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""mild"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
1. Disaster Type: This appears to be an infrastructure failure rather than a natural disaster. The fallen cables suggest a potential electrical or communication system malfunction.

2. Damage Severity: Mild - The car is covered in cables, but does not appear to be critically damaged. The infrastructure (cables) is compromised, but the scene does not show widespread destruction.

3. Informativeness: Informative - The image provides insight into potential urban infrastructure vulnerabilities and risks associated with overhead utility lines.

4. Humanitarian Category: Infrastructure and Utility Damage - The image highlights issues with utility infrastructure that could impact public safety and require municipal or utility company response.

The scene demonstrates a localized incident that could pose risks to public safety, such as electrical hazards or traffic disruption. While not a major humanitarian crisis, it represents the type of urban infrastructure challenge that could potentially require emergency response or utility repair.",No,0,mild,informative,infrastructure_and_utility_damage,not_disaster
ASONAM2017,nepal_eq_none_im_17924.jpg,data/ASONAM17_Damage_Image_Dataset/nepal_eq/nepal_eq_none_im_17924.jpg,little_or_none,informative,affected_injured_or_dead_people,other_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a scene where individuals appear to be carrying an unconscious or injured person on what looks like a large circular surface or platform. The setting seems to be an outdoor urban or market-like environment with some structures and other people visible in the background. The person being carried appears to be wearing a light-colored shirt and seems limp or unresponsive. Several individuals are assisting in moving or transporting this person.
</analysis>

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""informative"",
  ""humanitarian"": ""affected_injured_or_dead_people""
}
</labels>

Detailed Assessment:
- The image shows a potential medical emergency or assistance scenario
- There's no clear evidence of a large-scale disaster
- The scene suggests an urgent medical situation where people are helping transport an injured or unconscious individual
- The environment appears to be a local street or market area
- The humanitarian aspect is centered on the apparent effort to help the injured person
- While concerning, the image does not show widespread destruction or a major catastrophic event

The classification reflects a localized medical emergency situation where community members are providing immediate assistance to someone in distress. The image could be potentially useful for understanding community response and social support in challenging circumstances.",No,0,little_or_none,informative,affected_injured_or_dead_people,not_disaster
CrisisMMD,920267141408083968_0,data/crisismmd/data_image/california_wildfires/17_10_2017/920267141408083968_0.jpg,severe,informative,rescue_volunteering_or_donation_effort,fire,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a nighttime scene of a wildfire. A silhouetted firefighter stands among trees with active flames burning around them. The background is illuminated by an intense orange-yellow glow from the fire, creating a dramatic and intense visual of a forest or wildland fire in progress. The firefighter appears to be working to manage or contain the fire, with trees and vegetation burning in the background.
</analysis>

<labels>
{
  ""disaster_type"": ""fire"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""rescue_volunteering_or_donation_effort""
}
</labels>

Detailed Assessment:
- Disaster Type: Wildfire (Natural Disaster)
- The image captures an active fire scene with significant environmental impact
- The firefighter's presence indicates an ongoing emergency response
- The intense flames suggest extensive vegetation burning
- Damage appears severe, with widespread fire threatening the forest ecosystem
- The image is highly informative for humanitarian response efforts
- It illustrates the critical work of firefighters and the potential need for emergency assistance
- Shows a humanitarian response in action, highlighting the challenges of wildfire management
- Potential implications for evacuation, environmental protection, and community safety

The image powerfully demonstrates the destructive potential of wildfires and the brave efforts of first responders to control and mitigate such natural disasters.",No,0,severe,informative,rescue_volunteering_or_donation_effort,fire
AIDR,landslip/images/google/000006.jpg,data/aidr_disaster_types/landslide_crawled_images_v2/landslip/images/google/000006.jpg,severe,informative,infrastructure_and_utility_damage,landslide,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a severely damaged road or highway section that has collapsed and fractured due to ground subsidence or geological instability. Several people can be seen standing on the remaining intact section, observing the significant ground collapse. The road surface has broken and slid downward, revealing layers of soil, rock, and sediment underneath. The damage appears extensive, with a large portion of the road completely displaced and unusable.
</analysis>

Based on the analysis, here are the classifications:

1. DISASTER TYPE:
   - landslide (ground collapse, significant earth movement)

2. DAMAGE SEVERITY:
   - severe (road infrastructure completely destroyed and rendered unusable)

3. INFORMATIVENESS:
   - informative (provides clear visual evidence of infrastructure damage)

4. HUMANITARIAN CATEGORY:
   - infrastructure_and_utility_damage (shows significant damage to transportation infrastructure)

<labels>
{
  ""disaster_type"": ""landslide"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

The image depicts a critical infrastructure failure that would likely require immediate emergency response, road repair, and potential evacuation or rerouting of transportation in the affected area.",No,0,severe,informative,infrastructure_and_utility_damage,landslide
damage_multimodal,damaged_infrastructure/images/hurricaneirma_2017-11-22_02-23-53.jpg,data/multimodal-deep-learning-disaster-response-mouzannar/multimodal/damaged_infrastructure/images/hurricaneirma_2017-11-22_02-23-53.jpg,severe,informative,infrastructure_and_utility_damage,hurricane,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows extensive destruction of structures, likely the aftermath of a severe natural disaster. There are large piles of broken wooden boards, metal sheets, and building debris scattered across a grassy area with utility poles in the background. The wreckage appears to be from completely destroyed buildings or structures, with no intact walls or roofs remaining. The scene suggests catastrophic damage from a powerful environmental event.
</analysis>

<labels>
{
  ""disaster_type"": ""hurricane"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Detailed Assessment:
- Disaster Type: Hurricane - The comprehensive destruction and scattered debris are characteristic of hurricane damage, with complete structural failure and widespread demolition of buildings
- Damage Severity: Severe - The structures are totally destroyed, with no recognizable intact buildings remaining
- Informativeness: Informative - The image provides crucial visual documentation of the extent of disaster damage, which is valuable for humanitarian response planning
- Humanitarian Category: Infrastructure and Utility Damage - The image focuses on the massive destruction of built structures and surrounding infrastructure

The scene depicts the devastating aftermath of what appears to be a significant hurricane event, showing the complete destruction of buildings and the urgent need for humanitarian assistance and reconstruction efforts.",No,0,severe,informative,infrastructure_and_utility_damage,hurricane
CrisisMMD,905037826286387200_0,data/crisismmd/data_image/hurricane_harvey/5_9_2017/905037826286387200_0.jpg,severe,informative,infrastructure_and_utility_damage,flood,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image shows a vintage street lamp partially submerged in water, reflecting on the water's surface. The scene appears calm and monochromatic, with a grayish tone. The lamp is standing in what seems to be a flooded area, with water covering the ground around it. The reflection creates a symmetrical effect, with the lamp and its mirror image visible.
</analysis>

<labels>
{
  ""disaster_type"": ""flood"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>

Humanitarian Crisis Image Analysis:
The image depicts a flood scenario, though the damage appears minimal. The street lamp submerged in water suggests a localized flooding event. While the damage seems mild, this type of image could be useful for:
- Assessing water levels
- Documenting urban flooding
- Monitoring infrastructure impact during water-related incidents

The calm, almost artistic composition provides a subtle but informative view of flood conditions, potentially helpful for urban planning, flood management, and understanding the immediate effects of water accumulation in urban environments.

Key observations:
- Clear evidence of water covering ground level
- Intact street lamp suggests minimal structural damage
- Reflective quality highlights the extent of water coverage
- Monochromatic tone emphasizes the flooding's somber nature",No,0,little_or_none,informative,infrastructure_and_utility_damage,flood
aidr_old_data,977274533420978180_0,data/aidr_info/natural_disaster/23_3_2018/977274533420978180_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a stunning geological landscape featuring striking rock formations with swirling, layered patterns of red and white stone. The rock formations create wave-like undulations across the terrain, resembling folded fabric or fluid-like movement frozen in stone. The background shows a dramatic sky with blue and pink-tinged clouds, and the surrounding landscape appears to be a desert or arid region with reddish rock and sparse vegetation. This is a natural geological formation, likely located in a place like the Valley of Fire State Park in Nevada or similar geological sites known for their unique rock formations.
</analysis>

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>

This image is a beautiful landscape photograph showcasing natural geological formations. It does not represent a humanitarian crisis or disaster scenario. The rock formations, known as ""wave"" or ""striped"" rock formations, are a result of geological processes over millions of years, creating visually stunning patterns in the rock layers. The scene appears pristine and untouched, with no signs of damage, destruction, or human suffering that would warrant humanitarian intervention.

The classification reflects that this is:
- Not a disaster scene
- Has no damage
- Not informative for humanitarian aid
- Not related to humanitarian efforts",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
AIDR,600175533230465024_0,data/aidr_disaster_types/nepal_earthquake/18_5_2015/600175533230465024_0.jpg,severe,informative,infrastructure_and_utility_damage,earthquake,claude_haiku,direct_classification,"INITIAL RESPONSE:
<analysis>
The image depicts a devastated urban area with severely damaged and partially collapsed buildings. Multiple people are standing and moving among piles of rubble, wooden debris, and destroyed structures. The scene appears to be the aftermath of a significant destructive event, with buildings showing massive structural damage. The individuals seem to be assessing the damage, searching through debris, or trying to navigate the destroyed landscape. The color palette is muted, with earth tones and reddish-brown hues, giving the scene a somber and distressing atmosphere.
</analysis>

<labels>
{
  ""disaster_type"": ""earthquake"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""affected_injured_or_dead_people""
}
</labels>

Detailed Assessment:
1. Disaster Type: The widespread structural collapse and uniform damage pattern strongly suggests an earthquake. Multiple buildings are destroyed, with walls crumbled and roofs collapsed, typical of seismic event destruction.

2. Damage Severity: The damage is extremely severe. Buildings are almost completely demolished, with massive structural failures rendering the infrastructure uninhabitable. The extensive rubble and complete destruction categorize this as a severe damage scenario.

3. Informativeness: The image is highly informative for humanitarian aid assessment. It provides clear visual evidence of the disaster's impact, showing the extent of destruction and the immediate environment faced by survivors.

4. Humanitarian Category: The image shows affected people amidst the destruction, demonstrating the human impact of the disaster. People are scattered throughout the ruined landscape, indicating a significant humanitarian crisis requiring immediate intervention and support.

This image powerfully illustrates the devastating aftermath of what appears to be a major earthquake, highlighting the urgent need for humanitarian assistance, rescue efforts, and emergency response.",No,0,severe,informative,affected_injured_or_dead_people,earthquake
aidr_old_data,971489533874397187_0,data/aidr_info/human-induced_disaster/7_3_2018/971489533874397187_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_haiku,direct_classification,"INITIAL RESPONSE:
I apologize, but this image is not a humanitarian crisis image at all. It's an artistic illustration of cartoon-style characters and accessories. 

The image shows:
- Four stylized characters with different color schemes (pink, blue, green)
- Each character has a unique outfit and pose
- Accompanying accessories like a staff, phones, bags, and a cute cat-like object
- Drawn in a cute, anime/chibi-inspired art style

Given the humanitarian crisis assessment framework you provided, I'll fill out the categories:

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>

This is clearly an artistic character design sheet, likely for a cartoon, comic, or game character concept. It depicts playful, stylized characters with no relation to any humanitarian crisis or disaster scenario.",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
