image_id,event_name,image_path,damage_severity,informative,humanitarian,disaster_types,model_name,prompt_name,LLM_analysis,refusal_detected,fallback_attempts,damage_severity_prediction,informative_prediction,humanitarian_prediction,disaster_types_prediction
AIDR,920964237404659712_0,data/aidr_disaster_types/natural_disaster/19_10_2017/920964237404659712_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
Looking at this image, I can see a meeting or conference taking place in what appears to be a small conference room. The room has wooden ceiling panels with overhead lighting and beige walls. A group of people are seated around conference tables arranged in a U-shape formation. They appear to be engaged in some kind of formal discussion or presentation.

There's a wall-mounted display screen showing what looks like a presentation or information slide. On the wall, there's also a framed picture showing what appears to be a building near water. The meeting room has exit doors marked with green emergency exit signs.

The people in the room are dressed professionally, some with documents in front of them on the tables. One person appears to be standing or presenting to the group. This appears to be a normal business or governmental meeting with no signs of emergency or crisis situation.

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
ASONAM2017,nepal_eq_severe_im_9032.jpg,data/ASONAM17_Damage_Image_Dataset/nepal_eq/nepal_eq_severe_im_9032.jpg,mild,informative,infrastructure_and_utility_damage,earthquake,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
I'll analyze this image carefully.

The image shows a small white car (appears to be a Suzuki Maruti 800 or similar compact vehicle) on a city street that has been struck by fallen electrical cables or power lines. Multiple black cables are draped over the car, appearing to have fallen from a nearby utility pole. The incident has created a traffic disruption on what appears to be a busy road.

People are standing around the scene, likely onlookers and possibly authorities managing the situation. Some appear to be wearing uniforms, suggesting emergency personnel or utility workers are present. There's a barricade or fence visible in the background, and the surrounding area appears to be an urban setting.

This appears to be an infrastructure failure incident where utility lines have collapsed onto a vehicle, creating both a safety hazard and traffic disruption. The car itself doesn't appear severely damaged, but the fallen utility infrastructure presents a dangerous situation that requires emergency response.

<labels>
{
  ""disaster_type"": ""other_disaster"",
  ""damage_severity"": ""mild"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>",No,0,mild,informative,infrastructure_and_utility_damage,other_disaster
ASONAM2017,nepal_eq_none_im_17924.jpg,data/ASONAM17_Damage_Image_Dataset/nepal_eq/nepal_eq_none_im_17924.jpg,little_or_none,informative,affected_injured_or_dead_people,other_disaster,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
## Image Analysis

The image shows several people transporting an individual on what appears to be a makeshift stretcher or flat surface. The person being carried appears to be lying down and potentially injured or ill. Others around them seem to be assisting with the transportation. The setting appears to be outdoors with some vendor stalls or market-like structures visible in the background.

The scene suggests some kind of emergency medical transport in what looks like a rural or semi-urban area without formal emergency medical services. There are no visible signs of widespread disaster, collapsed buildings, or environmental hazards. This appears to be a localized medical emergency where people are collaborating to help transport someone who needs medical attention.

The image is clear and shows what appears to be a genuine situation where people are responding to someone in need of medical assistance.

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""informative"",
  ""humanitarian"": ""affected_injured_or_dead_people""
}
</labels>",No,0,little_or_none,informative,affected_injured_or_dead_people,not_disaster
CrisisMMD,920267141408083968_0,data/crisismmd/data_image/california_wildfires/17_10_2017/920267141408083968_0.jpg,severe,informative,rescue_volunteering_or_donation_effort,fire,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
Based on my analysis, I can see a silhouette of a firefighter or emergency responder standing against a backdrop of a forest fire. The image shows active flames illuminating a wooded area at night. The responder appears to be equipped with firefighting gear and is positioned near the fire line, likely working to combat the wildfire. The orange glow from the flames creates a dramatic contrast against the dark forest, highlighting the severity of the fire. The trees are still standing but the undergrowth is clearly burning.

This is a powerful documentation of wildfire response efforts. The image captures the dangerous conditions that firefighters face when battling forest fires, showing how they must work in close proximity to the flames. The responder appears to be actively engaged in firefighting operations, positioned at what looks like the edge of the advancing fire.

<labels>
{
  ""disaster_type"": ""fire"",
  ""damage_severity"": ""mild"",
  ""informative"": ""informative"",
  ""humanitarian"": ""rescue_volunteering_or_donation_effort""
}
</labels>",No,0,mild,informative,rescue_volunteering_or_donation_effort,fire
AIDR,landslip/images/google/000006.jpg,data/aidr_disaster_types/landslide_crawled_images_v2/landslip/images/google/000006.jpg,severe,informative,infrastructure_and_utility_damage,landslide,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
## Image Analysis

The image shows a significant landslide or ground collapse that has severely damaged what appears to be a paved area, possibly a parking lot or roadway. There's a clear view of a large section of earth that has given way, creating a steep cliff-like formation where the soil and underlying layers have been exposed. The asphalt or concrete surface has broken apart, with pieces visible at different levels of the collapse.

A few people are standing at the edge of the intact portion of the pavement, observing the damage. They appear to be assessing the situation rather than being in immediate danger themselves. The collapse has created a substantial drop-off where the ground has fallen away, exposing multiple layers of soil and substrate.

This appears to be documentation of infrastructure damage caused by either a landslide, significant erosion, or possibly ground instability following heavy rainfall or some other geological event. The image is clear and shows the extent of the damage effectively.

<labels>
{
  ""disaster_type"": ""landslide"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>",No,0,severe,informative,infrastructure_and_utility_damage,landslide
damage_multimodal,damaged_infrastructure/images/hurricaneirma_2017-11-22_02-23-53.jpg,data/multimodal-deep-learning-disaster-response-mouzannar/multimodal/damaged_infrastructure/images/hurricaneirma_2017-11-22_02-23-53.jpg,severe,informative,infrastructure_and_utility_damage,hurricane,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
I'll analyze this image from a humanitarian perspective.

Looking at the image, I can see extensive debris and structural damage. There appears to be a completely destroyed or collapsed structure with wooden planks, metal sheets, and various building materials scattered across the ground. What looks like the remains of a residential building or small structure is visible, with parts of walls and roofing materials thrown about. There's a wooden deck or platform structure partially visible on the left side that appears damaged but still somewhat intact.

The scene shows significant destruction with building materials and household items strewn about in a chaotic manner. The surrounding area appears to have some vegetation, suggesting this is in a residential or semi-rural area. Power lines or utility poles can be seen in the background.

The pattern of destruction - with materials scattered in what appears to be a radial pattern and the way wooden materials have been splintered and torn apart - is consistent with high wind damage. The blue sky visible suggests this image was taken after the disaster event had passed.

This type of widespread structural damage with materials scattered across a wide area is characteristic of hurricane damage, where powerful winds have torn apart structures and dispersed the debris.

<labels>
{
  ""disaster_type"": ""hurricane"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>",No,0,severe,informative,infrastructure_and_utility_damage,hurricane
CrisisMMD,905037826286387200_0,data/crisismmd/data_image/hurricane_harvey/5_9_2017/905037826286387200_0.jpg,severe,informative,infrastructure_and_utility_damage,flood,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
I'll analyze this image carefully.

The image shows a street lamp partially submerged in water. The lamp post is standing in what appears to be floodwater, with its reflection visible on the murky, grayish water surface. The water appears to be relatively calm but has clearly risen to an unusual level, submerging the lower portion of the lamp post. The scene suggests flooding in what might normally be a street, park, or riverbank area. There are no people visible in the image, and no other structures can be seen to assess additional damage.

This appears to be documentation of a flood event, showing how high the water has risen in this particular area. The lamp post serves as a reference point that helps visualize the water level. The water is relatively still, suggesting this might be standing floodwater rather than fast-flowing water from an active flash flood.

<labels>
{
  ""disaster_type"": ""flood"",
  ""damage_severity"": ""mild"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}
</labels>",No,0,mild,informative,infrastructure_and_utility_damage,flood
aidr_old_data,977274533420978180_0,data/aidr_info/natural_disaster/23_3_2018/977274533420978180_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
I can see this is a beautiful natural landscape image, not a humanitarian crisis scenario at all. 

The image shows a stunning geological formation commonly known as ""The Wave,"" which appears to be in the American Southwest, possibly in Arizona or Utah. The formation features smooth, curved red sandstone with distinctive striped patterns created through erosion over millions of years. The vibrant orange-red rock displays beautiful flowing wave-like patterns with white striations.

Above the rock formation is a dramatic blue sky with scattered white and pink-tinged clouds, suggesting this may be taken during sunset or sunrise. The surrounding landscape includes more red rock formations and some sparse desert vegetation in the background.

This is simply a natural landscape photograph showing the beautiful geological features of a desert environment. There is no disaster, damage, or humanitarian crisis present in this image. It's a scenic nature photograph capturing the remarkable patterns and colors of eroded sandstone formations.

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
AIDR,600175533230465024_0,data/aidr_disaster_types/nepal_earthquake/18_5_2015/600175533230465024_0.jpg,severe,informative,infrastructure_and_utility_damage,earthquake,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
## Analysis

The image shows a severely damaged or collapsed building in what appears to be the aftermath of a disaster. Multiple brick structures are severely damaged, with walls collapsed and debris scattered throughout the area. There are numerous people present in the image, appearing to be searching through or clearing the rubble. They seem to be local residents or responders working together among the destroyed buildings. Some are standing on top of the rubble while others are working at ground level.

The pattern of destruction is consistent with structural collapse, with large sections of buildings completely destroyed and reduced to piles of brick, concrete, and wooden debris. The damage appears comprehensive and severe, affecting multiple buildings in the area. The people in the scene appear to be engaged in early recovery or search operations, possibly looking for survivors or retrieving belongings from the destroyed structures.

The image clearly shows a significant disaster event with widespread structural damage. The scene has all the characteristics of a major earthquake's aftermath, with the typical pattern of building collapse and community response.

## Labels
{
  ""disaster_type"": ""earthquake"",
  ""damage_severity"": ""severe"",
  ""informative"": ""informative"",
  ""humanitarian"": ""infrastructure_and_utility_damage""
}",No,0,severe,informative,infrastructure_and_utility_damage,earthquake
aidr_old_data,971489533874397187_0,data/aidr_info/human-induced_disaster/7_3_2018/971489533874397187_0.jpg,little_or_none,not_informative,not_humanitarian,not_disaster,claude_sonnet,direct_uncertainty,"INITIAL RESPONSE:
Looking at this image, I can see this is stylized cartoon artwork featuring four illustrated cartoon characters and various accessories. The top part shows four cartoon figures with exaggerated features like large heads, big eyes, and platform shoes. They appear to be designed in a similar style but with different color schemes - two in pink/light blue on the left, and two in dark/green tones on the right.

The bottom portion of the image shows various accessories that appear to be related to these characters, including what looks like a staff or wand with hearts, a pink bag, some small electronic devices, and what appears to be a cute cartoon cat or animal face design.

This is clearly artistic content - stylized cartoon character designs that might be for a game, animation, or other creative media. There are no real people, no disasters, and no humanitarian concerns depicted.

<labels>
{
  ""disaster_type"": ""not_disaster"",
  ""damage_severity"": ""little_or_none"",
  ""informative"": ""not_informative"",
  ""humanitarian"": ""not_humanitarian""
}
</labels>",No,0,little_or_none,not_informative,not_humanitarian,not_disaster
